Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
164,-0.0564577,27111,108382,113813,0.3798828,-0.9267578,0.0825195,-0.6097561,-0.4878049,0.0609756,
164,-0.0553133,27083,108380,113825,0.3754883,-0.9291992,0.0805664,-0.6707317,-0.7317073,-0.1219512,
165,-0.0595095,27112,108397,113843,0.3754883,-0.9252930,0.0810547,-0.4878049,-1.0365854,-0.1829268,
165,-0.0694278,27070,108403,113849,0.3759766,-0.9238281,0.0795898,-0.3048780,-1.2195122,-0.2439024,
165,-0.0820163,27117,108428,113865,0.3730469,-0.9194336,0.0834961,0.0000000,-1.4024390,-0.1829268,
165,-0.0881198,27132,108435,113876,0.3710938,-0.9213867,0.0893555,0.3048780,-1.3414634,-0.0609756,
165,-0.0823978,27149,108452,113882,0.3696289,-0.9267578,0.0932617,0.4268293,-1.0975610,0.1829268,
165,-0.0713351,27149,108468,113895,0.3710938,-0.9287109,0.0869141,0.4268293,-0.6097561,0.4878049,
165,-0.0694278,27145,108479,113906,0.3647461,-0.9301758,0.0893555,0.4878049,0.1219512,0.9756098,
166,-0.0782016,27155,108475,113893,0.3647461,-0.9331055,0.0869141,0.7926829,0.8536585,1.4634146,
166,-0.0907901,27169,108479,113903,0.3750000,-0.9331055,0.0927734,1.2195122,1.5243902,1.8902439,
166,-0.1003269,27181,108483,113911,0.3764648,-0.9267578,0.0742188,1.7682927,1.8292683,2.2560976,
166,-0.1152043,27194,108479,113907,0.3735352,-0.9345703,0.0590820,2.1951220,1.8902439,2.4390244,
166,-0.1335149,27188,108467,113884,0.3803711,-0.9306641,0.0820313,2.8658537,2.1951220,2.5609756,
166,-0.1461035,27193,108470,113882,0.3828125,-0.9257813,0.0761719,3.4146341,2.5609756,2.6219512,
166,-0.1529699,27188,108460,113874,0.3906250,-0.9257813,0.0825195,3.7195122,2.8048780,2.6219512,
167,-0.1651770,27211,108447,113870,0.3930664,-0.9218750,0.0927734,3.7804878,3.0487805,2.5000000,
167,-0.1701361,27210,108453,113866,0.3925781,-0.9199219,0.1054688,3.7804878,3.1707317,2.4390244,
167,-0.1556402,27205,108454,113859,0.3852539,-0.9150391,0.1098633,3.7195122,3.0487805,2.3170732,
167,-0.1373296,27215,108451,113870,0.3759766,-0.9125977,0.1069336,3.7195122,2.9268293,2.2560976,
167,-0.1930244,27213,108466,113877,0.3681641,-0.9101563,0.1088867,3.5975610,2.8658537,2.3170732,
167,-0.3868118,27229,108481,113889,0.3652344,-0.9125977,0.1044922,3.3536585,2.8658537,2.4390244,
167,-0.4394548,27235,108481,113889,0.3618164,-0.9184570,0.0986328,2.7439024,2.9268293,2.6219512,
168,0.1087193,27228,108496,113889,0.3652344,-0.9277344,0.1059570,2.0121951,3.2317073,2.8658537,
168,1.0620158,27234,108499,113913,0.3652344,-0.9345703,0.1030273,1.1585366,3.6585366,3.1097561,
168,1.5586912,27254,108500,113908,0.3681641,-0.9404297,0.0981445,0.4878049,4.1463415,3.2317073,
168,1.0765117,27251,108513,113914,0.3720703,-0.9404297,0.1020508,0.0609756,4.6341463,3.1707317,
168,0.0938419,27260,108529,113918,0.3769531,-0.9394531,0.1044922,-0.1219512,5.1219512,2.9878049,
168,-0.5256673,27267,108531,113927,0.3774414,-0.9418945,0.1074219,0.0000000,5.4268293,2.8658537,
168,-0.5321523,27275,108532,113933,0.3759766,-0.9448242,0.1049805,0.3658537,5.6097561,2.6829268,
169,-0.3566756,27272,108543,113933,0.3725586,-0.9443359,0.1049805,0.7926829,5.5487805,2.5000000,
169,-0.3459944,27288,108544,113933,0.3710938,-0.9423828,0.1015625,1.4024390,5.3658537,2.3170732,
169,-0.3986374,27288,108559,113938,0.3676758,-0.9350586,0.1010742,2.0121951,5.2439024,2.1951220,
169,-0.3841415,27290,108555,113944,0.3701172,-0.9277344,0.0991211,2.6829268,5.0609756,2.0731707,
169,-0.3692641,27282,108575,113957,0.3632813,-0.9262695,0.0986328,3.2926829,5.0609756,2.0121951,
169,-0.3627791,27303,108578,113963,0.3637695,-0.9267578,0.1035156,3.8414634,5.0609756,2.0121951,
169,-0.3505720,27297,108584,113966,0.3632813,-0.9282227,0.1044922,4.2682927,5.2439024,2.0121951,
