Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
220,-0.1010899,29533,113411,117754,-0.0131836,-0.9912109,0.0551758,11.0365854,6.5853659,-1.6463415,
221,-0.0995640,29567,113539,117853,-0.0117188,-0.9902344,0.0556641,10.8536585,5.7926829,-2.3170732,
221,-0.0991825,29580,113668,117956,-0.0126953,-0.9868164,0.0576172,10.5487805,5.1829268,-2.9268293,
221,-0.0995640,29623,113785,118045,-0.0112305,-0.9829102,0.0600586,10.3048780,4.8780488,-3.3536585,
221,-0.1026157,29662,113897,118128,-0.0117188,-0.9799805,0.0668945,10.1829268,4.8170732,-3.6585366,
221,-0.1071934,29677,113990,118204,-0.0117188,-0.9765625,0.0727539,10.3048780,5.0000000,-3.7804878,
221,-0.1079563,29703,114071,118285,-0.0146484,-0.9780273,0.0771484,10.4878049,5.3048780,-3.7195122,
221,-0.1083378,29723,114174,118367,-0.0190430,-0.9843750,0.0766602,10.7317073,5.5487805,-3.4146341,
222,-0.1098637,29743,114253,118431,-0.0170898,-0.9887695,0.0747070,10.7926829,5.6097561,-3.0487805,
222,-0.1113896,29774,114350,118508,-0.0180664,-0.9926758,0.0737305,10.6707317,5.5487805,-2.8048780,
222,-0.1083378,29787,114404,118546,-0.0185547,-0.9985352,0.0654297,10.3048780,5.3658537,-2.7439024,
222,-0.1052860,29822,114480,118611,-0.0175781,-0.9970703,0.0625000,9.6341463,5.1829268,-2.9268293,
222,-0.1075749,29837,114550,118678,-0.0151367,-0.9926758,0.0620117,8.7195122,5.1829268,-3.3536585,
222,-0.1163487,29869,114654,118750,-0.0146484,-0.9877930,0.0620117,7.6829268,5.3658537,-3.9024390,
222,-0.1262670,29869,114731,118819,-0.0161133,-0.9829102,0.0615234,6.5853659,5.6707317,-4.5121951,
223,-0.1358037,29918,114840,118913,-0.0146484,-0.9794922,0.0605469,5.5487805,6.1585366,-5.1219512,
223,-0.1388555,29952,114941,119011,-0.0156250,-0.9750977,0.0644531,4.8170732,6.5243902,-5.5487805,
223,-0.1365667,29983,115083,119091,-0.0151367,-0.9790039,0.0678711,4.4512195,6.8292683,-5.7926829,
223,-0.1289373,30027,115208,119214,-0.0180664,-0.9829102,0.0771484,4.3902439,7.0121951,-5.9756098,
223,-0.1220708,30059,115341,119304,-0.0185547,-0.9892578,0.0849609,4.8780488,7.0121951,-6.0975610,
223,-0.1197820,30108,115458,119392,-0.0219727,-0.9936523,0.1015625,6.0365854,6.5853659,-6.0365854,
223,-0.1197820,30118,115462,119376,-0.0190430,-0.9970703,0.1000977,7.5609756,5.9756098,-5.9146341,
224,-0.1232152,30131,115429,119360,-0.0170898,-0.9882813,0.0937500,8.8414634,5.3048780,-5.5487805,
224,-0.1289373,30112,115387,119315,-0.0131836,-0.9951172,0.0839844,8.9634146,5.0000000,-5.1219512,
224,-0.1358037,30098,115244,119204,-0.0039063,-0.9902344,0.0722656,7.8048780,5.4878049,-4.5731707,
224,-0.1422888,30068,115107,119114,0.0048828,-0.9697266,0.0581055,5.4878049,6.8902439,-4.1463415,
224,-0.1514441,30045,115056,119082,0.0083008,-0.9702148,0.0688477,2.0731707,9.1463415,-3.9634146,
224,-0.1564032,30089,115089,119093,0.0083008,-0.9667969,0.0771484,-1.5243902,11.5853659,-4.0243902,
224,-0.1556402,30064,115133,119152,-0.0009766,-0.9702148,0.0854492,-4.2682927,13.5365854,-4.1463415,
